URL	Label
*.chicagotribune.newspapers.com/*	_cse_galkqgoksq0
*.crash.net/*	_cse_galkqgoksq0
*.brawngp.com/*	_cse_galkqgoksq0
*.gpupdate.net/*	_cse_galkqgoksq0
*.f1technical.net/*	_cse_galkqgoksq0
*.planet-f1.com/*	_cse_galkqgoksq0
*.mclaren.com/*	_cse_galkqgoksq0
*.f1-live.com/*	_cse_galkqgoksq0
*.motorsport.com/*	_cse_galkqgoksq0
*.8w.forix.com/*	_cse_galkqgoksq0
*.nl.newsbank.com/*	_cse_galkqgoksq0
*.worldcat.org/*	_cse_galkqgoksq0
*.msnbc.msn.com/*	_cse_galkqgoksq0
*.rfi.fr/*	_cse_galkqgoksq0
*.lemonde.fr/*	_cse_galkqgoksq0
*.wsj.com/*	_cse_galkqgoksq0
*.cleveland.com/*	_cse_galkqgoksq0
*.oregonlive.com/*	_cse_galkqgoksq0
*.sfgate.com/*	_cse_galkqgoksq0
*.philly.com/*	_cse_galkqgoksq0
*.consumerreports.org/*	_cse_galkqgoksq0
*.wrestleview.com/*	_cse_galkqgoksq0
*.f4wonline.com/*	_cse_galkqgoksq0
*.slam.canoe.ca/*	_cse_galkqgoksq0
*.tnawrestling.com/*	_cse_galkqgoksq0
*.wwe.com/*	_cse_galkqgoksq0
*.fia.com/*	_cse_galkqgoksq0
*.grandprix.com/*	_cse_galkqgoksq0
*.itv-f1.com/*	_cse_galkqgoksq0
*.autosport.com/*	_cse_galkqgoksq0
*.formula1.com/*	_cse_galkqgoksq0
*.aviation-safety.net/*	_cse_galkqgoksq0
*.seattletimes.nwsource.com/*	_cse_galkqgoksq0
*.nuclearweaponarchive.org/*	_cse_galkqgoksq0
*.amtrak.com/*	_cse_galkqgoksq0
*.defenselink.mil/*	_cse_galkqgoksq0
*.nationalreview.com/*	_cse_galkqgoksq0
*.transinfo.com.au/*	_cse_galkqgoksq0
*.epolitix.com/*	_cse_galkqgoksq0
*.amnesty.org/*	_cse_galkqgoksq0
*.villagevoice.com/*	_cse_galkqgoksq0
*.army.mod.uk/*	_cse_galkqgoksq0
*.fox.com/*	_cse_galkqgoksq0
*.fcc.gov/*	_cse_galkqgoksq0
*.parliament.uk/*	_cse_galkqgoksq0
*.independent.co.uk/*	_cse_galkqgoksq0
*.ab.ca/*	_cse_galkqgoksq0
*.canadiana.org/*	_cse_galkqgoksq0
*.archives.gov/*	_cse_galkqgoksq0
*.espn.go.com/*	_cse_galkqgoksq0
*.tate.org.uk/*	_cse_galkqgoksq0
*.fbi.gov/*	_cse_galkqgoksq0
*.books.google.com/*	_cse_galkqgoksq0
*.gutenberg.net/*	_cse_galkqgoksq0
*.nbc.com/*	_cse_galkqgoksq0
*.businessweek.com/*	_cse_galkqgoksq0
*.hinduonnet.com/*	_cse_galkqgoksq0
*.fws.gov/*	_cse_galkqgoksq0
*.economist.com/*	_cse_galkqgoksq0
*.fda.gov/*	_cse_galkqgoksq0
*.space.com/*	_cse_galkqgoksq0
*.redlist.org/*	_cse_galkqgoksq0
*.abcnews.go.com/*	_cse_galkqgoksq0
*.cricinfo.com/*	_cse_galkqgoksq0
*.vahighways.com/*	_cse_galkqgoksq0
*.psephos.adam-carr.net/*	_cse_galkqgoksq0
*.government.bg/*	_cse_galkqgoksq0
*.newyorker.com/*	_cse_galkqgoksq0
*.usc.edu/*	_cse_galkqgoksq0
*.virginia.edu/*	_cse_galkqgoksq0
*.census.gov/*	_cse_galkqgoksq0
*.english-nature.org.uk/*	_cse_galkqgoksq0
*.tufts.edu/*	_cse_galkqgoksq0
*.qc.ca/*	_cse_galkqgoksq0
*.usda.gov/*	_cse_galkqgoksq0
*.catholic-hierarchy.org/*	_cse_galkqgoksq0
*.jewishvirtuallibrary.org/*	_cse_galkqgoksq0
*.british-history.ac.uk/*	_cse_galkqgoksq0
*.museum.tv/*	_cse_galkqgoksq0
*.newscientist.com/*	_cse_galkqgoksq0
*.cbs.com/*	_cse_galkqgoksq0
*.iana.org/*	_cse_galkqgoksq0
*.hindu.com/*	_cse_galkqgoksq0
*.latimes.com/*	_cse_galkqgoksq0
*.npg.org.uk/*	_cse_galkqgoksq0
*.gov.au/*	_cse_galkqgoksq0
*.footballdatabase.com/*	_cse_galkqgoksq0
*.astronautix.com/*	_cse_galkqgoksq0
*.u-strasbg.fr/*	_cse_galkqgoksq0
*.epa.gov/*	_cse_galkqgoksq0
*.europa.eu.int/*	_cse_galkqgoksq0
*.vatican.va/*	_cse_galkqgoksq0
*.racing-reference.info/*	_cse_galkqgoksq0
*.army.mil/*	_cse_galkqgoksq0
*.gg.ca/*	_cse_galkqgoksq0
*.usdoj.gov/*	_cse_galkqgoksq0
*.lds.org/*	_cse_galkqgoksq0
*.fordham.edu/*	_cse_galkqgoksq0
*.maritimequest.com/*	_cse_galkqgoksq0
*.politicalgraveyard.com/*	_cse_galkqgoksq0
*.nature.com/*	_cse_galkqgoksq0
*.elections.ca/*	_cse_galkqgoksq0
*.cricketarchive.com/*	_cse_galkqgoksq0
*.crimelibrary.com/*	_cse_galkqgoksq0
*.insee.fr/*	_cse_galkqgoksq0
*.nationaltrust.org.uk/*	_cse_galkqgoksq0
*.marvel.com/*	_cse_galkqgoksq0
*.findlaw.com/*	_cse_galkqgoksq0
*.ccel.org/*	_cse_galkqgoksq0
*.cbsnews.com/*	_cse_galkqgoksq0
*.emedicine.com/*	_cse_galkqgoksq0
*.karachicity.gov.pk/*	_cse_galkqgoksq0
*.baseballhalloffame.org/*	_cse_galkqgoksq0
*.databasefootball.com/*	_cse_galkqgoksq0
*.whitehouse.gov/*	_cse_galkqgoksq0
*.mlb.com/*	_cse_galkqgoksq0
*.fed.us/*	_cse_galkqgoksq0
